Estimated Payment History,,,,,
,,,,,
,,,,,
2022,,,,,
,,,,,
No estimated taxes were paid in 2022,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
For the 2021 estimated tax payments we provided updated federal vouchers as follows:,,,,,
,,,,,
Federal,,,,,
,Estimate,Actual Cash Payment,Comments,,
3rd qtr,236000,238950,"paid 2/3/2022 via check - note check was unsigned initially, deposited and then returned back in 9/21/2021 and it took this long to process and repay with added interest",,
4th qtr,78750,,,,
,,,,,
,,,,,
For California we provided vouchers with the 2020 return as follows:,,,,,
,,,,,
CA State,,,,,
,Estimate,Actual Cash Payment,Comments,,
2nd qtr,49980,0,no payments made,,
4th qtr,21420,0,no payments made,,
,,,,,
,,,,,
,,,,,
2020 Tax Payments,,,,,
,,,,,
Federal,,317305,paid via check cleared 8/25/2021,,
,,7337.56,paid 10/12/2021 via Direct Pay,,I think I double paid the amount due
,,7324.91,paid 9/29/2021 via Fidelity check,,
,,,,,
CA State,,78818,paid on web 8/18/2021,,
,,,,,
Note - on 8/30/2021 I received a note that the IRS had intercepted and taken  $928.16 for my 2020 CA State Tax refund,,,,,
,,,,,
,,,,,
2019 Tax Payments,,,,,
,,,,,
Federal,,17423.12,paid online transfer 10/12/2021,,
